date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:25	413/413	---M--	200	added ('OK')	image/png	etag:%2268ca88e7-19d%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/egypt-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/egypt-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:25	615/615	---M--	200	added ('OK')	image/png	etag:%2268ca8907-267%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/south-africa-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/south-africa-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:25	537/537	---M--	200	added ('OK')	image/png	etag:%2268ca88ec-219%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/zimbabwe-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/zimbabwe-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:26	552/552	---M--	200	added ('OK')	image/png	etag:%2268ca8908-228%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/kenya-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/kenya-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:26	461/461	---M--	200	added ('OK')	image/png	etag:%2268ca88f3-1cd%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/morocco-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/morocco-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:26	471/471	---M--	200	added ('OK')	image/png	etag:%2268ca88d6-1d7%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/senegal-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/senegal-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:26	660/660	---M--	200	added ('OK')	image/png	etag:%2268ca88fa-294%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/australia-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/australia-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:27	633/633	---M--	200	added ('OK')	image/png	etag:%2268ca88ed-279%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/papua-new-guinea-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/papua-new-guinea-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:27	445/445	---M--	200	added ('OK')	image/png	etag:%2268ca88de-1bd%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/uae-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/uae-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
10:06:27	468/468	---M--	200	added ('OK')	image/png	etag:%2268ca88df-1d4%22	https://demo.egenslab.com/html/gofly/preview/assets/img/home1/qatar-flag.png	C:/Users/arifh/OneDrive/Desktop/Tours&Travels/demo.egenslab.com/html/gofly/preview/assets/img/home1/qatar-flag.png	(from https://demo.egenslab.com/html/gofly/preview/travel-agency-01.html)
